,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
532,2008,Summer,CALS,A E,490E,IND STU ENVIR SYSTS,1,0,0
615,2008,Summer,CALS,A ECL,312,ECOLOGY,5,1,20
1330,2008,Summer,BUS,ACCT,215,LEGAL ENVIRONMT BUS,24,1,4
1376,2008,Summer,BUS,ACCT,284,FINANCIAL ACCOUNTNG,58,8,14
1425,2008,Summer,BUS,ACCT,285,MANAGERIAL ACCOUNTG,38,8,21
1522,2008,Summer,BUS,ACCT,383,INTMD MANAGERL ACCT,23,0,0
1600,2008,Summer,BUS,ACCT,386,INTMED ACCOUNTING I,20,2,10
1757,2008,Summer,BUS,ACCT,490,INDEPENDENT STUDY,1,0,0
1829,2008,Summer,BUS,ACCT,497,INTRO TO AUDITING,24,0,0
1915,2008,Summer,LAS,ADVRT,301,STRATEG PLAN AD&P R,9,2,22
2874,2008,Summer,ENGR,AER E,490C,IND STU AEROS STRUC,1,0,0
3620,2008,Summer,INDIS,AF AM,201,INTRO AFRIC AMER ST,33,8,24
3669,2008,Summer,INDIS,AF AM,330,ETHNIC&RACE RELATNS,8,1,13
4171,2008,Summer,CALS,AGEDS,211B,FIELD EXP EXTENSION,2,0,0
4296,2008,Summer,CALS,AGEDS,311,PRESENTN STRATEGIES,14,1,7
4465,2008,Summer,CALS,AGEDS,412,INTERNSHIP IN AGEDS,6,0,0
4577,2008,Summer,CALS,AGEDS,450,FARM MGMT&OPERATION,15,0,0
4744,2008,Summer,CALS,AGEDS,490C,"IND STU BUS,PROD AG",2,0,0
4945,2008,Summer,CALS,AGRON,154,FUND OF SOIL SCIENC,10,1,10
5381,2008,Summer,CALS,AGRON,342,WORLD FOOD ISSUES,6,1,17
5672,2008,Summer,CALS,AGRON,446,INT'L AG&SUSTAI DEV,5,0,0
5818,2008,Summer,CALS,AGRON,490Z,IND STU SERVC LEARN,4,0,0
5840,2008,Summer,CALS,AGRON,493,AGRONOMY WORKSHOP,5,0,0
5855,2008,Summer,CALS,AGRON,496A,AG INT'L TRAVL TOUR,13,0,0
5914,2008,Summer,INDIS,AM IN,210,INTR AM INDIAN STDI,30,2,7
7439,2008,Summer,CALS,AN S,490A,IND STDY ANIMAL SCI,1,0,0
7561,2008,Summer,CALS,AN S,493G,BEHVR&TRAIN HORSE I,5,0,0
7563,2008,Summer,CALS,AN S,493J,BHVR&TRAIN HORSE II,2,0,0
7570,2008,Summer,CALS,AN S,496A,AG INT'L TRAVEL CRS,21,0,0
7994,2008,Summer,LAS,ANTHR,434A,INTERNSHIP ARCHAEOL,1,0,0
8003,2008,Summer,LAS,ANTHR,434B,INTERNSHIP CULTRL A,1,0,0
8762,2008,Summer,DSGN,ARCH,490B,INDEP STUDY DESIGN,5,0,0
8980,2008,Summer,DSGN,ART,497,STUDIO INTERNSHIP,2,0,0
9257,2008,Summer,DSGN,ART H,498,TOPICS IN ART HIST,33,2,6
9626,2008,Summer,DSGN,ARTGR,476,GRPHC DSN METHODLGY,21,1,5
9697,2008,Summer,DSGN,ARTGR,480,GRPH DSGN INTERNSHP,16,0,0
10127,2008,Summer,DSGN,ARTID,460,INT DSGN INTERNSHIP,35,1,3
10281,2008,Summer,DSGN,ARTIS,201,FND VISUAL LITERACY,23,2,9
10531,2008,Summer,DSGN,ARTIS,227,INTRO DIGITAL PHOTO,18,0,0
10643,2008,Summer,DSGN,ARTIS,238,PAINTING I,16,1,6
10689,2008,Summer,DSGN,ARTIS,305,INTEGRATIVE MEDIA,8,0,0
11039,2008,Summer,DSGN,ARTIS,338,PAINTING II,6,0,0
11367,2008,Summer,DSGN,ARTIS,438,PAINTING,5,1,20
11697,2008,Summer,DSGN,ARTIS,490L,INDEP STUDY WOOD,2,0,0
11938,2008,Summer,LAS,ASTRO,102,NORTH STAR ASTRONMY,22,5,23
11974,2008,Summer,LAS,ASTRO,103,EVENING STAR,8,2,25
12054,2008,Summer,LAS,ASTRO,120,SKY & SOLAR SYSTEM,25,8,32
12594,2008,Summer,INDIS,BBMB,301,SURVEY OF BIOCHEM,56,8,14
12670,2008,Summer,INDIS,BBMB,404,BIOCHEMISTRY I,27,9,33
12714,2008,Summer,INDIS,BBMB,405,BIOCHEMISTRY II,11,2,18
12861,2008,Summer,INDIS,BBMB,499,UNDERGRAD RESEARCH,3,0,0
12983,2008,Summer,INDIS,BIOL,101,INTRODUCTORY BIOL,87,20,23
13070,2008,Summer,INDIS,BIOL,155,HUMAN BIOLOGY,45,11,24
13102,2008,Summer,INDIS,BIOL,165,FIELD BOTANY,12,0,0
13112,2008,Summer,INDIS,BIOL,173,ENVIRONMNTL BIOLOGY,16,1,6
13186,2008,Summer,INDIS,BIOL,211,PRIN OF BIOLOGY I,46,12,26
13443,2008,Summer,INDIS,BIOL,312,ECOLOGY,35,5,14
13471,2008,Summer,INDIS,BIOL,313,PRINCIP OF GENETICS,24,8,33
14220,2008,Summer,INDIS,BIOL,490R,IND STU BIOL RESRCH,2,0,0
14248,2008,Summer,INDIS,BIOL,491,LAB TEACHNG EXPERNC,1,0,0
14475,2008,Summer,INDIS,BPM I,490,INDEPENDENT STUDY,2,0,0
14517,2008,Summer,INDIS,BPM I,497,ILLUSTRATION INTERN,1,0,0
14720,2008,Summer,BUS,BUSAD,291A,EXP DOMESTIC INTERN,2,0,0
14842,2008,Summer,BUS,BUSAD,491A,EXP DOMESTC INTERNS,7,0,0
14892,2008,Summer,BUS,BUSAD,491D,EXP INT'L TRAVEL&ST,2,0,0
14899,2008,Summer,BUS,BUSAD,491E,EXPERIENTIAL LEARNG,7,0,0
15126,2008,Summer,ENGR,C E,326,PRIN ENVIRONMT ENGR,7,0,0
15254,2008,Summer,ENGR,C E,334,REIN CONCRETE DSN I,21,2,10
15724,2008,Summer,ENGR,C E,490,INDEPENDENT STUDY,1,0,0
15806,2008,Summer,H SCI,C I,202,INTR INSTR TEC 7-12,13,1,8
15842,2008,Summer,H SCI,C I,204,SOC FOUND AMER EDUC,18,0,0
16280,2008,Summer,H SCI,C I,377,RDG&LANG ARTS K-3RD,18,0,0
16326,2008,Summer,H SCI,C I,378,RDG&LANG ARTS 4TH-6,16,0,0
16393,2008,Summer,H SCI,C I,402,MIDL SCHL CURR&INST,8,0,0
16419,2008,Summer,H SCI,C I,406,MULTICULTURAL EDUC,26,1,4
16873,2008,Summer,H SCI,C I,426,PRINCIPLS SECNDY ED,11,0,0
16998,2008,Summer,H SCI,C I,443,TCHG OF SOC STUDIES,16,0,0
17043,2008,Summer,H SCI,C I,448,TCHNG CHILDREN MATH,17,0,0
17089,2008,Summer,H SCI,C I,449,TEACHING OF SCIENCE,14,0,0
17215,2008,Summer,H SCI,C I,468A,PRA PRIMRY RDG&LANG,17,0,0
17261,2008,Summer,H SCI,C I,468B,PRA RDG&LANG INTRMD,14,0,0
17307,2008,Summer,H SCI,C I,468C,TCHG PRACTICUM MATH,17,0,0
17353,2008,Summer,H SCI,C I,468D,TCHNG PRACTICUM SCI,14,0,0
17531,2008,Summer,H SCI,C I,468R,PRACT READNG ENDORS,2,0,0
17889,2008,Summer,DSGN,C R P,330,PRACTICUM,4,0,0
17974,2008,Summer,DSGN,C R P,391,FIELD TRAVEL,8,0,0
18125,2008,Summer,DSGN,C R P,451,INTRO GEOG INFO SYS,3,0,0
18227,2008,Summer,DSGN,C R P,484,SUSTAINABLE COMMUNT,8,0,0
18246,2008,Summer,DSGN,C R P,490,INDEPENDENT STUDY,1,0,0
18304,2008,Summer,DSGN,C R P,494,SR PLANNING SEMINAR,6,0,0
18438,2008,Summer,ENGR,CH E,325,CHEMICAL ENGR LAB I,4,0,0
18639,2008,Summer,ENGR,CH E,391B,F STDY ORIEN IN EUR,6,0,0
18645,2008,Summer,ENGR,CH E,392,FOREIGN STUDY PROG,6,0,0
18744,2008,Summer,ENGR,CH E,426,CHEMICL ENGR LAB II,5,0,0
18852,2008,Summer,ENGR,CH E,490,INDEPENDENT STUDY,3,0,0
19140,2008,Summer,LAS,CHEM,177,GENERAL CHEMISTRY,21,3,14
19186,2008,Summer,LAS,CHEM,177L,GENERAL CHEM LAB,17,2,12
19412,2008,Summer,LAS,CHEM,231,ELEM ORGANIC CHEM,25,2,8
19457,2008,Summer,LAS,CHEM,231L,ELEM ORGNC CHEM LAB,25,2,8
19837,2008,Summer,LAS,CHEM,399,UNDERGRAD RESEARCH,2,0,0
19924,2008,Summer,LAS,CHEM,499,SENIOR RESEARCH,1,0,0
20109,2008,Summer,LAS,CJ ST,240,INTR CRIMINL JUSTIC,38,1,3
20138,2008,Summer,LAS,CJ ST,241,YOUTH & CRIME,59,8,14
20179,2008,Summer,LAS,CJ ST,332,PHILOSOPHY OF LAW,13,0,0
20245,2008,Summer,LAS,CJ ST,341,CRIMINOLOGY,27,2,7
20278,2008,Summer,LAS,CJ ST,351,POLICE AND SOCIETY,21,7,33
20307,2008,Summer,LAS,CJ ST,352,"PNISH,CORECTN&SOCIE",41,2,5
20363,2008,Summer,LAS,CJ ST,403X,CRIMINAL OFFENDERS,31,1,3
20387,2008,Summer,LAS,CJ ST,460,CRIM &JUV JUST PRAC,43,1,2
20509,2008,Summer,INDIS,CL ST,304,HERITG ANCIENT WRLD,9,2,22
20764,2008,Summer,LAS,CMDIS,286,BASIC SIGN LANGUAGE,18,5,28
20846,2008,Summer,LAS,COM S,103,COMPUTER APPLICATNS,150,32,21
20919,2008,Summer,LAS,COM S,107,APP COMPUTER PROGRM,12,6,50
20995,2008,Summer,LAS,COM S,207,PROGRAMMING I,19,6,32
21081,2008,Summer,LAS,COM S,228,INTRO DATA STRUCTUR,22,8,36
21204,2008,Summer,LAS,COM S,311,DSN&ANALYSIS ALGRTH,9,0,0
21745,2008,Summer,LAS,COM S,490,INDEPENDENT STUDY,1,0,0
21836,2008,Summer,LAS,COMST,102,INTRO INTERPRS COMM,23,2,9
21949,2008,Summer,LAS,COMST,218,CONFLICT MANAGEMENT,22,0,0
22009,2008,Summer,LAS,COMST,305,"LANGUAG,THOUGHT&ACT",11,0,0
22024,2008,Summer,LAS,COMST,310,INTERCULTURAL COMM,19,1,5
22398,2008,Summer,ENGR,CON E,241,CONSTR MATLS&METHDS,8,0,0
22586,2008,Summer,ENGR,CON E,380,ENGINEERING LAW,26,2,8
22770,2008,Summer,ENGR,CON E,490,INDEPENDENT STUDY,1,0,0
22890,2008,Summer,ENGR,CPR E,281,"DIG LOGC,PROCSR,P I",17,2,12
23368,2008,Summer,ENGR,CPR E,490,INDEPENDENT STUDY,1,0,0
23591,2008,Summer,H SCI,DANCE,160,BALLROOM DANCE I,7,0,0
23889,2008,Summer,H SCI,DANCE,490,INDEPENDENT STUDY,2,0,0
24553,2008,Summer,DSGN,DSN S,498,TOPICS IN ART HIST,6,1,17
24655,2008,Summer,ENGR,E E,201,ELECTRIC CIRCUITS,7,0,0
24725,2008,Summer,ENGR,E E,230,ELECTRON CIRCTS&SYS,12,1,8
24812,2008,Summer,ENGR,E E,311,ELECTROMG FLD&WAVES,8,0,0
25037,2008,Summer,ENGR,E E,409,INTDISCP SYS EFFCTV,12,0,0
