,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
617,2009,Summer,CALS,A ECL,312,ECOLOGY,8,1,13
1333,2009,Summer,BUS,ACCT,215,LEGAL ENVIRONMT BUS,21,0,0
1379,2009,Summer,BUS,ACCT,284,FINANCIAL ACCOUNTNG,56,13,23
1428,2009,Summer,BUS,ACCT,285,MANAGERIAL ACCOUNTG,37,2,5
1525,2009,Summer,BUS,ACCT,383,INTMD MANAGERL ACCT,35,1,3
1603,2009,Summer,BUS,ACCT,386,INTMED ACCOUNTING I,37,9,24
1832,2009,Summer,BUS,ACCT,497,INTRO TO AUDITING,18,0,0
1918,2009,Summer,LAS,ADVRT,301,STRATEG PLAN AD&P R,13,1,8
3243,2009,Summer,H SCI,AESHM,271,P R & EVENT MGMT I,7,0,0
3349,2009,Summer,H SCI,AESHM,342,AESTHETC OF EVERYDY,17,0,0
3672,2009,Summer,INDIS,AF AM,330,ETHNIC&RACE RELATNS,8,1,13
4299,2009,Summer,CALS,AGEDS,311,PRESENTN STRATEGIES,19,0,0
4468,2009,Summer,CALS,AGEDS,412,INTERNSHIP IN AGEDS,5,0,0
4562,2009,Summer,CALS,AGEDS,418,SUPRV EXTENSN EXPER,2,0,0
4580,2009,Summer,CALS,AGEDS,450,FARM MGMT&OPERATION,7,0,0
4747,2009,Summer,CALS,AGEDS,490C,"IND STU BUS,PROD AG",1,0,0
4836,2009,Summer,CALS,AGEDS,496A,AG TRAVEL INTERNATL,20,0,0
4948,2009,Summer,CALS,AGRON,154,FUND OF SOIL SCIENC,12,2,17
5384,2009,Summer,CALS,AGRON,342,WORLD FOOD ISSUES,32,6,19
5883,2009,Summer,CALS,AGRON,497,AGROECOLOGY FLD CRS,1,0,0
5917,2009,Summer,INDIS,AM IN,210,INTR AM INDIAN STDI,31,1,3
7442,2009,Summer,CALS,AN S,490A,IND STDY ANIMAL SCI,4,0,0
7507,2009,Summer,CALS,AN S,490C,INDEP STDY MEAT SCI,1,0,0
7562,2009,Summer,CALS,AN S,493G,BEHVR&TRAIN HORSE I,7,0,0
7565,2009,Summer,CALS,AN S,493K,BHVR&TRAIN HORSE II,4,0,0
7571,2009,Summer,CALS,AN S,496A,AG INT'L TRAVEL CRS,9,0,0
8004,2009,Summer,LAS,ANTHR,434B,INTERNSHIP CULTRL A,3,0,0
8085,2009,Summer,LAS,ANTHR,490B,IND STU CULTR ANTHR,1,0,0
8519,2009,Summer,DSGN,ARCH,404,ARCHITC DESIGN VIII,13,0,0
8955,2009,Summer,DSGN,ART,495N,ART HIST IN EUROPE,12,0,0
8983,2009,Summer,DSGN,ART,497,STUDIO INTERNSHIP,3,0,0
9064,2009,Summer,DSGN,ART H,281,HISTORY OF ART II,18,3,17
9260,2009,Summer,DSGN,ART H,498,TOPICS IN ART HIST,16,2,13
9628,2009,Summer,DSGN,ARTGR,476,GRPHC DSN METHODLGY,9,0,0
9698,2009,Summer,DSGN,ARTGR,480,GRPH DSGN INTERNSHP,18,0,0
9832,2009,Summer,DSGN,ARTGR,490I,"IND STU COOP,INTERN",1,0,0
10128,2009,Summer,DSGN,ARTID,460,INT DSGN INTERNSHIP,40,0,0
10534,2009,Summer,DSGN,ARTIS,227,INTRO DIGITAL PHOTO,12,0,0
10727,2009,Summer,DSGN,ARTIS,308,MODELG&VIRTUL PHOTO,17,1,6
11430,2009,Summer,DSGN,ARTIS,482,TOPICS STUDIO ART,21,1,5
11505,2009,Summer,DSGN,ARTIS,490D,INDEP STUDY DRAWING,1,0,0
11941,2009,Summer,LAS,ASTRO,102,NORTH STAR ASTRONMY,46,11,24
