,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
609,2005,Summer,CALS,A ECL,312,ECOLOGY,2,0,0
1321,2005,Summer,BUS,ACCT,215,LEGAL ENVIRONMT BUS,16,0,0
1367,2005,Summer,BUS,ACCT,284,FINANCIAL ACCOUNTNG,65,11,17
1416,2005,Summer,BUS,ACCT,285,MANAGERIAL ACCOUNTG,48,5,10
1513,2005,Summer,BUS,ACCT,383,INTMD MANAGERL ACCT,37,1,3
1591,2005,Summer,BUS,ACCT,386,INTMED ACCOUNTING I,21,1,5
1753,2005,Summer,BUS,ACCT,490,INDEPENDENT STUDY,1,0,0
1820,2005,Summer,BUS,ACCT,497,INTRO TO AUDITING,24,0,0
1906,2005,Summer,LAS,ADVRT,301,STRATEG PLAN AD &PR,18,2,11
3660,2005,Summer,INDIS,AF AM,330,ETHNIC&RACE RELATNS,5,2,40
4456,2005,Summer,CALS,AGEDS,412,INTERNSHIP IN AGEDS,1,0,0
4568,2005,Summer,CALS,AGEDS,450,FARM MGMT&OPERATION,20,0,0
4735,2005,Summer,CALS,AGEDS,490C,"IND STD BUS,PROD AG",2,0,0
4796,2005,Summer,CALS,AGEDS,490F,IND STDY ENVIR ISSU,1,0,0
4834,2005,Summer,CALS,AGEDS,496A,AG TRAVEL INTERNATL,9,0,0
5372,2005,Summer,CALS,AGRON,342,WORLD FOOD ISSUES,21,1,5
5760,2005,Summer,CALS,AGRON,490,INDEPENDENT STUDY,7,0,0
5847,2005,Summer,CALS,AGRON,496A,AG INT'L TRAVEL CRS,20,0,0
5905,2005,Summer,INDIS,AM IN,210,INTRO AM IN STUDIES,63,6,10
5967,2005,Summer,INDIS,AM IN,310,TOPICS AMERI INDIAN,22,0,0
7009,2005,Summer,CALS,AN S,399A,ANIM SCI INTERNSHIP,1,0,0
7430,2005,Summer,CALS,AN S,490A,IND STDY AN SCIENCE,1,0,0
7567,2005,Summer,CALS,AN S,496A,AG INT'L TRAVEL CRS,7,0,0
7889,2005,Summer,LAS,ANTHR,327X,PEOPLE&CULTR S ASIA,6,0,0
8011,2005,Summer,LAS,ANTHR,436,DEVELOPMENT ANTHROP,7,0,0
8066,2005,Summer,LAS,ANTHR,490A,INDEP STDY ARCHAEOL,1,0,0
8078,2005,Summer,LAS,ANTHR,490B,IND STD CULTR ANTHR,10,0,0
8885,2005,Summer,DSGN,ART,230,DRAWING II,11,0,0
8972,2005,Summer,DSGN,ART,497,STUDIO INTERNSHIP,1,0,0
9002,2005,Summer,DSGN,ART,498,INTRNSHP MUSEUM/GAL,4,0,0
9087,2005,Summer,DSGN,ART H,378X,POPES AND CAESARS,10,0,0
9162,2005,Summer,DSGN,ART H,484,TRADIT INDIA CULTUR,1,0,0
9193,2005,Summer,DSGN,ART H,490,INDEPENDENT STUDY,1,0,0
9224,2005,Summer,DSGN,ART H,495,ART&THRY SINCE 1945,17,3,18
9287,2005,Summer,DSGN,ARTED,211,INTRO TO ART EDUC,8,0,0
9620,2005,Summer,DSGN,ARTGR,476,GRPHC DSN METHODLGY,12,0,0
9694,2005,Summer,DSGN,ARTGR,480,GRPH DSGN INTERNSHP,16,0,0
10124,2005,Summer,DSGN,ARTID,460,INT DSGN INTERNSHIP,35,1,3
10232,2005,Summer,DSGN,ARTID,490,INDEPENDENT STUDY,3,0,0
10390,2005,Summer,DSGN,ARTIS,208,COLOR,13,0,0
10518,2005,Summer,DSGN,ARTIS,224,JEWELRY/METALSMTH I,9,1,11
10565,2005,Summer,DSGN,ARTIS,227X,INTRO DIGITAL PHOTO,14,0,0
10634,2005,Summer,DSGN,ARTIS,238,PAINTING I,6,0,0
10680,2005,Summer,DSGN,ARTIS,305,MIXED MEDIA,13,2,15
10756,2005,Summer,DSGN,ARTIS,310,SOURCES VISUAL DSGN,13,0,0
10865,2005,Summer,DSGN,ARTIS,324,JEWELR/METALSMTH II,4,0,0
11030,2005,Summer,DSGN,ARTIS,338,PAINTING II,2,0,0
11275,2005,Summer,DSGN,ARTIS,424,JEWELR/METALSMI III,4,1,25
11359,2005,Summer,DSGN,ARTIS,438,PAINTING III,3,0,0
11495,2005,Summer,DSGN,ARTIS,490D,INDEP STUDY DRAWING,1,0,0
11619,2005,Summer,DSGN,ARTIS,490I,INDEP STDY PAINTING,1,0,0
11738,2005,Summer,DSGN,ARTIS,493D,WORKSHOP: DRAWING,8,0,0
11922,2005,Summer,CALS,AST,493J,WKSHP TRACTOR&MACHN,3,0,0
12585,2005,Summer,INDIS,BBMB,301,SURVEY OF BIOCHEM,43,8,19
12705,2005,Summer,INDIS,BBMB,405,BIOCHEMISTRY II,2,2,100
12852,2005,Summer,INDIS,BBMB,499,UNDERGRAD RESEARCH,1,0,0
13022,2005,Summer,INDIS,BIOL,109,INTRODUCTORY BIOL,123,35,28
13057,2005,Summer,INDIS,BIOL,123,ENVIRONMNTL BIOLOGY,39,9,23
13147,2005,Summer,INDIS,BIOL,201,PRIN OF BIOLOGY I,37,15,41
13396,2005,Summer,INDIS,BIOL,301,PRINCIP OF GENETICS,25,8,32
13437,2005,Summer,INDIS,BIOL,312,ECOLOGY,32,2,6
13873,2005,Summer,INDIS,BIOL,394B,INTERNAT FIELD TRIP,36,0,0
