,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
2,2015,Spring,CALS,A B E,110,EXPERNC AG&BIO ENGR,96,2,2
7,2015,Fall,CALS,A B E,160,SYST PROB SOLV&PROG,76,8,11
8,2015,Spring,CALS,A B E,160,SYST PROB SOLV&PROG,47,9,19
15,2015,Fall,CALS,A B E,170,ENG GRPHC&INTRO DSN,82,7,9
16,2015,Spring,CALS,A B E,170,ENG GRPHC&INTRO DSN,33,1,3
23,2015,Fall,CALS,A B E,201,SMNR:PREP FOR WRKPL,9,0,0
24,2015,Spring,CALS,A B E,201,SMNR:PREP FOR WRKPL,38,1,3
31,2015,Fall,CALS,A B E,216,FND AG &BIOSYS ENGR,82,14,17
34,2015,Spring,CALS,A B E,218,PROJ MGT&DESIGN ABE,43,0,0
39,2015,Fall,CALS,A B E,271,PARAM SLD MODEL ENG,16,2,13
40,2015,Spring,CALS,A B E,271,PARAM SLD MODEL ENG,21,6,29
47,2015,Fall,CALS,A B E,272,PRO/ENG MOD&ASSEMBL,13,5,38
48,2015,Spring,CALS,A B E,272,PRO/ENG MOD&ASSEMBL,27,6,22
58,2015,Spring,CALS,A B E,273X,CAD FACILT&LAND USE,15,1,7
60,2015,Fall,CALS,A B E,316,APPLD NUMRCL METHDS,32,1,3
67,2015,Fall,CALS,A B E,325,BIORENEWABLE SYSTMS,24,0,0
71,2015,Fall,CALS,A B E,340,ANALY&DS FIELD MACH,23,0,0
74,2015,Spring,CALS,A B E,342,AGRI TRACTOR POWER,38,0,0
79,2015,Fall,CALS,A B E,363,ELEC POWR&ELECTRONC,38,0,0
84,2015,Spring,CALS,A B E,380,PRIN BIOL SYS ENGNR,16,1,6
89,2015,Fall,CALS,A B E,388,SUSTNBL E&INT'L DEV,9,0,0
92,2015,Spring,CALS,A B E,403,MODEL&CNTRLS AG SYS,14,5,36
95,2015,Fall,CALS,A B E,404,A B E INSTRUMENTATN,52,0,0
99,2015,Spring,CALS,A B E,410,ELE SYS INTEGRAT AG,15,1,7
103,2015,Fall,CALS,A B E,413,FLUID POWER ENGR,31,1,3
107,2015,Fall,CALS,A B E,415,AG&BIOSY ENGR DSN I,37,0,0
108,2015,Spring,CALS,A B E,415,AG&BIOSY ENGR DSN I,18,0,0
115,2015,Fall,CALS,A B E,416,AG&BIOSY ENG DSN II,17,0,0
116,2015,Spring,CALS,A B E,416,AG&BIOSY ENG DSN II,30,0,0
122,2015,Fall,CALS,A B E,418,FUND ENGINRG REVIEW,16,3,19
129,2015,Spring,CALS,A B E,418X,FUND OF ENGINR REVW,20,0,0
130,2015,Spring,CALS,A B E,424A,AIR POLLUT AIR QUAL,5,0,0
132,2015,Spring,CALS,A B E,424B,AIR POLLUT &CLIMATE,5,1,20
133,2015,Spring,CALS,A B E,424D,AIR POLLUT TREATMNT,1,1,100
135,2015,Spring,CALS,A B E,424E,AIR POLLUT AG SOURC,4,0,0
137,2015,Fall,CALS,A B E,431,SOIL&WTR CONSRV SYS,16,1,6
140,2015,Spring,CALS,A B E,432,NONPT SOURC POLLU&C,1,1,100
146,2015,Fall,CALS,A B E,451,FOOD&BIOPROCES ENGR,9,0,0
149,2015,Spring,CALS,A B E,466,MULTIDISC ENGR DSGN,1,1,100
150,2015,Spring,CALS,A B E,469,GRAIN PROCESS&HANDL,21,1,5
162,2015,Spring,CALS,A B E,478,WOOD-FRM STRUC DSGN,31,2,6
165,2015,Fall,CALS,A B E,480,ENGR ANALY BIOL SYS,14,0,0
178,2015,Fall,CALS,A B E,490H,INDEP STUDY HONORS,1,0,0
189,2015,Spring,CALS,A B E,490P,IND STDY POWER ENGR,1,0,0
190,2015,Spring,CALS,A B E,490Q,IND STDY STRUCTURES,1,0,0
191,2015,Spring,CALS,A B E,490R,IND STDY PROC ENGRG,2,0,0
192,2015,Spring,CALS,A B E,490S,IND STU ENVIR&N RES,1,0,0
