,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
623,2012,Summer,CALS,A ECL,312,ECOLOGY,12,1,8
868,2012,Summer,CALS,A ECL,486,AQUATIC ECOLOGY,1,1,100
1342,2012,Summer,BUS,ACCT,215,LEGAL ENVIRONMT BUS,33,0,0
1388,2012,Summer,BUS,ACCT,284,FINANCIAL ACCOUNTNG,62,10,16
1437,2012,Summer,BUS,ACCT,285,MANAGERIAL ACCOUNTG,30,1,3
1464,2012,Summer,BUS,ACCT,301,THE ACCOUNTNG CYCLE,28,10,36
1534,2012,Summer,BUS,ACCT,383,INTMD MANAGERL ACCT,22,2,9
1612,2012,Summer,BUS,ACCT,386,INTMED ACCOUNTING I,30,7,23
1841,2012,Summer,BUS,ACCT,497,INTRO TO AUDITING,31,2,6
1887,2012,Summer,LAS,ADVRT,230,ADVERTISING PRINCIP,27,2,7
3094,2012,Summer,H SCI,AESHM,170D,SUPV WRK EXP I:HSPY,4,0,0
3115,2012,Summer,H SCI,AESHM,170F,SUPV WRK EXP I:EVNT,1,0,0
3188,2012,Summer,H SCI,AESHM,270D,SUP WRK EXP II:HSPY,4,1,25
3208,2012,Summer,H SCI,AESHM,270F,SUP WRK EXP II:EVNT,1,0,0
3252,2012,Summer,H SCI,AESHM,271,P R & EVENT MGMT I,31,1,3
3357,2012,Summer,H SCI,AESHM,342,AESTHTCS CNSMR EXPC,46,6,13
3397,2012,Summer,H SCI,AESHM,380,U.S. FIELD STUDY,21,0,0
3415,2012,Summer,H SCI,AESHM,381,INT'L FIELD TRIP,10,0,0
3473,2012,Summer,H SCI,AESHM,470A,INTERNSH FOOD&BEVRG,2,1,50
3479,2012,Summer,H SCI,AESHM,470C,INTERNSHIP CLUB MGT,3,0,0
3480,2012,Summer,H SCI,AESHM,470D,INTERNSHIP HOSPTLTY,14,6,43
3501,2012,Summer,H SCI,AESHM,470F,INTERNSHP EVENT MGT,33,5,15
3522,2012,Summer,H SCI,AESHM,470I,INTERN TXTL&AP DSGN,36,1,3
3526,2012,Summer,H SCI,AESHM,470J,INTERNSHP MERCHNDIS,48,0,0
3530,2012,Summer,H SCI,AESHM,470K,INTERNSH PRODCT DEV,6,1,17
3534,2012,Summer,H SCI,AESHM,470L,INTERNSHP P R&PBLSH,7,2,29
3539,2012,Summer,H SCI,AESHM,470N,INTERNSHIP APPAREL,3,0,0
3557,2012,Summer,H SCI,AESHM,470P,INTRNSHP ISU DINING,4,2,50
4195,2012,Summer,CALS,AGEDS,211C,FIELD EXP AG INDUST,2,1,50
4308,2012,Summer,CALS,AGEDS,311,PRESENTN STRATEGIES,10,1,10
4368,2012,Summer,CALS,AGEDS,315,LEADERSHIP IN AGRIC,9,2,22
4416,2012,Summer,CALS,AGEDS,388X,AG MECHAN APPLCATNS,3,0,0
4477,2012,Summer,CALS,AGEDS,412,INTERNSHIP IN AGEDS,6,0,0
4589,2012,Summer,CALS,AGEDS,450,FARM MGMT&OPERATION,9,0,0
4683,2012,Summer,CALS,AGEDS,490A,"IND STU PHIL,CURRIC",2,0,0
4957,2012,Summer,CALS,AGRON,154,FUND OF SOIL SCIENC,28,0,0
5050,2012,Summer,CALS,AGRON,206,INTRO WEATHER&CLIMT,17,7,41
5393,2012,Summer,CALS,AGRON,342,WORLD FOOD ISSUES,46,19,41
5780,2012,Summer,CALS,AGRON,490G,INDEPENDENT STUDY,1,0,0
5863,2012,Summer,CALS,AGRON,496A,AG INT'L TRAVL TOUR,8,0,0
5926,2012,Summer,INDIS,AM IN,210,INTR AM INDIAN STDI,18,1,6
5982,2012,Summer,INDIS,AM IN,310,TOPICS AMERI INDIAN,24,4,17
6190,2012,Summer,CALS,AN S,116X,PRA SAFE HORSE HNDL,6,0,0
6338,2012,Summer,CALS,AN S,216,EQUINE SCIENCE,44,2,5
6926,2012,Summer,CALS,AN S,380D,TP ADV SWIN FRW MGT,9,2,22
6954,2012,Summer,CALS,AN S,380G,TP ADV SWIN NRS MGT,5,0,0
6987,2012,Summer,CALS,AN S,382X,SWINE ENVIRONMT MGT,7,1,14
7024,2012,Summer,CALS,AN S,399A,ANIM SCI INTERNSHIP,1,0,0
7451,2012,Summer,CALS,AN S,490A,IND STDY ANIMAL SCI,2,0,0
7511,2012,Summer,CALS,AN S,490C,INDEP STDY MEAT SCI,1,0,0
7575,2012,Summer,CALS,AN S,496A,AG INT'L TRAVEL CRS,13,0,0
7795,2012,Summer,LAS,ANTHR,309,INTRO CULTUR&LANGUA,24,1,4
8006,2012,Summer,LAS,ANTHR,434B,INTERNSHIP CULTRL A,1,0,0
8094,2012,Summer,LAS,ANTHR,490B,IND STU CULTR ANTHR,1,0,0
8772,2012,Summer,DSGN,ARCH,490B,INDEP STUDY DESIGN,10,0,0
8941,2012,Summer,DSGN,ART,495G,GRAPHIC DSGN IN EUR,12,0,0
8964,2012,Summer,DSGN,ART,495N,ART HIST IN EUROPE,7,0,0
8989,2012,Summer,DSGN,ART,497,STUDIO INTERNSHIP,1,0,0
9132,2012,Summer,DSGN,ART H,386X,AMERICN ART TO 1945,44,15,34
9185,2012,Summer,DSGN,ART H,489,SEQUENTIAL ART,48,12,25
9634,2012,Summer,DSGN,ARTGR,476,GRPHC DSN METHODLGY,15,1,7
9701,2012,Summer,DSGN,ARTGR,480,GRPH DSGN INTERNSHP,37,0,0
9769,2012,Summer,DSGN,ARTGR,490A,"IND ST THEORY, CRIT",1,0,0
9840,2012,Summer,DSGN,ARTGR,490I,"IND STU COOP,INTERN",4,1,25
10131,2012,Summer,DSGN,ARTID,460,INT DSGN INTERNSHIP,53,1,2
10543,2012,Summer,DSGN,ARTIS,227,INTR CRTV DGT PHOTO,5,0,0
10654,2012,Summer,DSGN,ARTIS,238,PAINTING I,2,0,0
10700,2012,Summer,DSGN,ARTIS,305,INTEGRATED MEDIA,7,0,0
11050,2012,Summer,DSGN,ARTIS,338,PAINTING II,1,0,0
11378,2012,Summer,DSGN,ARTIS,438,PAINTING III,4,0,0
