,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
2,2015,Spring,CALS,A B E,110,EXPERNC AG&BIO ENGR,96,2,2
8,2015,Spring,CALS,A B E,160,SYST PROB SOLV&PROG,47,9,19
16,2015,Spring,CALS,A B E,170,ENG GRPHC&INTRO DSN,33,1,3
24,2015,Spring,CALS,A B E,201,SMNR:PREP FOR WRKPL,38,1,3
34,2015,Spring,CALS,A B E,218,PROJ MGT&DESIGN ABE,43,0,0
40,2015,Spring,CALS,A B E,271,PARAM SLD MODEL ENG,21,6,29
48,2015,Spring,CALS,A B E,272,PRO/ENG MOD&ASSEMBL,27,6,22
58,2015,Spring,CALS,A B E,273X,CAD FACILT&LAND USE,15,1,7
74,2015,Spring,CALS,A B E,342,AGRI TRACTOR POWER,38,0,0
84,2015,Spring,CALS,A B E,380,PRIN BIOL SYS ENGNR,16,1,6
92,2015,Spring,CALS,A B E,403,MODEL&CNTRLS AG SYS,14,5,36
99,2015,Spring,CALS,A B E,410,ELE SYS INTEGRAT AG,15,1,7
108,2015,Spring,CALS,A B E,415,AG&BIOSY ENGR DSN I,18,0,0
116,2015,Spring,CALS,A B E,416,AG&BIOSY ENG DSN II,30,0,0
129,2015,Spring,CALS,A B E,418X,FUND OF ENGINR REVW,20,0,0
130,2015,Spring,CALS,A B E,424A,AIR POLLUT AIR QUAL,5,0,0
132,2015,Spring,CALS,A B E,424B,AIR POLLUT &CLIMATE,5,1,20
133,2015,Spring,CALS,A B E,424D,AIR POLLUT TREATMNT,1,1,100
135,2015,Spring,CALS,A B E,424E,AIR POLLUT AG SOURC,4,0,0
140,2015,Spring,CALS,A B E,432,NONPT SOURC POLLU&C,1,1,100
149,2015,Spring,CALS,A B E,466,MULTIDISC ENGR DSGN,1,1,100
150,2015,Spring,CALS,A B E,469,GRAIN PROCESS&HANDL,21,1,5
162,2015,Spring,CALS,A B E,478,WOOD-FRM STRUC DSGN,31,2,6
189,2015,Spring,CALS,A B E,490P,IND STDY POWER ENGR,1,0,0
190,2015,Spring,CALS,A B E,490Q,IND STDY STRUCTURES,1,0,0
191,2015,Spring,CALS,A B E,490R,IND STDY PROC ENGRG,2,0,0
192,2015,Spring,CALS,A B E,490S,IND STU ENVIR&N RES,1,0,0
648,2015,Spring,CALS,A ECL,321,FISH BIOLOGY,21,0,0
697,2015,Spring,CALS,A ECL,366,NAT HIST IOWA VERTE,64,0,0
711,2015,Spring,CALS,A ECL,371,ECOLOGICAL METHODS,34,8,24
726,2015,Spring,CALS,A ECL,401,INTR AQUAT ANIM MED,5,1,20
752,2015,Spring,CALS,A ECL,425,AQUATIC INSECTS,8,0,0
805,2015,Spring,CALS,A ECL,454,PRIN WILDLIF DISEAS,34,0,0
834,2015,Spring,CALS,A ECL,458,ORNITHOLOGY,42,12,29
839,2015,Spring,CALS,A ECL,458L,ORNITHOLOGY LAB,29,7,24
851,2015,Spring,CALS,A ECL,459,MAMMALOGY,80,5,6
856,2015,Spring,CALS,A ECL,459L,MAMMALOGY LABRATORY,59,2,3
909,2015,Spring,H SCI,A M D,165,DRESS&DIVRSTY SOCIE,290,8,3
918,2015,Spring,H SCI,A M D,178,INTR APPRL DSN STDO,48,7,15
928,2015,Spring,H SCI,A M D,204,TEXTILE SCIENCE,72,4,6
940,2015,Spring,H SCI,A M D,210,CPR APP DIGTL DSIGN,76,7,9
950,2015,Spring,H SCI,A M D,221,APPARL ASSEMBL PROC,56,19,34
956,2015,Spring,H SCI,A M D,225,PATTRNMAK I:DRFT&FL,25,7,28
966,2015,Spring,H SCI,A M D,231,PRODUCT DEVELOP&MFG,60,1,2
976,2015,Spring,H SCI,A M D,245,AESTHETC&BRAND IMAG,71,9,13
