College,Major,Class,Difficulty
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,ENGL 250,2.333333333333333
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 311,1.475
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,LIB 160,2.565217391304348
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,PSYCH 230,3.152173913043478
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,CHEM 163,5.5588235294117645
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,MATH 104,6.769230769230768
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,BIOL 211,6.2564102564102555
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,BIOL 212,4.428571428571429
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,STAT 104,5.195652173913044
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,ACCT 284,3.934782608695652
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 315,1.6216216216216215
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 488,1.1176470588235294
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AN S 101,1.7142857142857142
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGRON 181,4.0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGRON 182,3.6666666666666665
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AN S 114,3.7
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,ECON 101,5.543478260869565
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,ECON 230,1.6666666666666667
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,NREM 120,3.8285714285714287
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 110A,1.0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 211A,4.8125
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 310,1.3333333333333333
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 401,1.1333333333333333
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 402,1.0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 416,1.3703703703703705
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 417,1.0
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,C I 202,1.84
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,C I 204,1.45
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,C I 333,1.96875
CALS,Agricultural and Life Sciences Education- B.S - teacher certification option,C I 406,1.0434782608695652
