Year,Class,Total Grades,"D, F, W Grades",% DFW
2003,AN S 211,78.0,2.0,3.0
2003,AN S 214,100.0,25.0,25.0
2003,AN S 214L,97.0,24.0,25.0
2003,AN S 216,51.0,1.0,2.0
2003,AN S 235,22.0,0.0,0.0
2003,AN S 250,67.0,10.0,15.0
2003,AN S 270,57.0,5.0,9.0
2003,AN S 305,36.0,1.0,3.0
2003,AN S 311,76.0,0.0,0.0
2003,AN S 316,18.0,0.0,0.0
2003,AN S 319,82.0,33.0,40.0
2003,AN S 331,93.0,9.0,10.0
2003,AN S 332,22.0,2.0,9.0
2003,AN S 333,37.0,2.0,5.0
2003,AN S 334,10.0,0.0,0.0
2003,AN S 336,36.0,4.0,11.0
2003,AN S 345,40.0,1.0,3.0
2003,AN S 352,69.0,7.0,10.0
2003,AN S 360,13.0,1.0,8.0
2003,AN S 399A,11.0,0.0,0.0
2003,AN S 411,51.0,1.0,2.0
2003,AN S 416X,4.0,1.0,25.0
2003,AN S 419,28.0,4.0,14.0
2003,AN S 425,28.0,2.0,7.0
2003,AN S 426,41.0,6.0,15.0
2003,AN S 434,19.0,0.0,0.0
2003,AN S 475A,6.0,0.0,0.0
2003,AN S 475B,7.0,0.0,0.0
2003,AN S 475C,41.0,1.0,2.0
2003,AN S 490A,17.0,0.5,1.5
2003,AN S 490B,1.0,0.0,0.0
2003,AN S 490C,1.0,0.0,0.0
2003,AN S 490H,1.0,0.0,0.0
2003,AN S 496A,5.0,0.0,0.0
2003,ANTHR 201,273.0,75.5,20.5
2003,ANTHR 202,134.0,50.0,37.0
2003,ANTHR 230,126.0,20.5,11.0
2003,ANTHR 257,15.0,2.0,13.0
2003,ANTHR 308,45.0,5.0,11.0
2003,ANTHR 309,36.0,5.0,14.0
2003,ANTHR 326,29.0,3.0,10.0
2003,ANTHR 335,34.0,12.0,35.0
2003,ANTHR 411,20.0,3.0,15.0
2003,ANTHR 412,30.0,7.0,23.0
2003,ANTHR 414,21.0,1.0,5.0
2003,ANTHR 418,11.0,3.0,27.0
2003,ANTHR 420,7.0,1.0,14.0
2003,ANTHR 429,9.0,0.0,0.0
2003,ANTHR 490A,3.0,0.0,0.0
2003,ANTHR 490B,2.0,0.0,0.0
2003,ANTHR 490C,3.5,0.0,0.0
2003,ANTHR 490D,1.0,0.0,0.0
2003,ARCH 102,109.0,13.0,12.0
2003,ARCH 201,69.0,0.0,0.0
2003,ARCH 221,165.0,42.0,25.0
2003,ARCH 230,69.0,0.0,0.0
2003,ARCH 240,115.0,8.0,7.0
2003,ARCH 271,69.0,0.0,0.0
2003,ARCH 301,66.0,0.0,0.0
2003,ARCH 334,15.5,1.5,9.0
2003,ARCH 335,39.0,4.0,10.0
2003,ARCH 344,63.0,3.0,5.0
2003,ARCH 357,66.0,4.0,6.0
2003,ARCH 401,58.0,0.0,0.0
2003,ARCH 403,58.0,1.0,2.0
2003,ARCH 404,1.0,0.0,0.0
2003,ARCH 422,22.0,1.0,5.0
2003,ARCH 425,24.0,7.0,29.0
2003,ARCH 427,18.0,3.0,17.0
2003,ARCH 431,8.0,2.0,25.0
2003,ARCH 434,9.0,0.0,0.0
2003,ARCH 436,16.0,5.0,31.0
2003,ARCH 437,15.0,6.0,40.0
2003,ARCH 471,18.0,1.0,6.0
2003,ARCH 482,60.0,1.0,2.0
2003,ARCH 490A,10.5,0.0,0.0
2003,ARCH 490B,3.0,1.0,33.0
2003,ARCH 490C,5.0,1.0,20.0
2003,ARCH 490D,1.0,0.0,0.0
2003,ART 108,196.5,27.5,15.5
2003,ART 109,9.0,2.0,22.0
2003,ART 130,158.0,14.5,11.0
2003,ART 230,39.5,6.0,12.0
2003,ART 292,231.0,13.0,6.0
2003,ART 495N,51.0,1.0,2.0
2003,ART 497,2.0,0.0,0.0
2003,ART 498,6.0,0.0,0.0
2003,ART H 181,217.0,78.0,36.0
2003,ART H 280,241.0,73.0,30.0
2003,ART H 280H,5.0,5.0,100.0
2003,ART H 378X,23.0,0.0,0.0
2003,ART H 394,36.0,11.0,31.0
2003,ART H 481,61.0,21.0,34.0
2003,ART H 488,39.5,2.0,6.5
2003,ART H 490,1.0,0.0,0.0
2003,ART H 496,41.0,13.0,32.0
2003,ARTED 211,16.0,0.5,2.5
2003,ARTGR 270,60.0,0.0,0.0
2003,ARTGR 275,60.0,0.0,0.0
2003,ARTGR 277,60.0,0.0,0.0
2003,ARTGR 370,61.0,1.0,2.0
2003,ARTGR 387,63.0,0.0,0.0
2003,ARTGR 470,52.0,4.0,8.0
2003,ARTGR 472,14.0,1.0,7.0
2003,ARTGR 474,14.0,2.0,14.0
2003,ARTGR 475,9.0,2.0,22.0
2003,ARTGR 476,17.0,1.0,4.0
2003,ARTGR 477,11.0,1.0,9.0
2003,ARTGR 480,12.0,0.0,0.0
2003,ARTGR 481,49.0,0.0,0.0
2003,ARTGR 484,28.0,1.0,4.0
2003,ARTGR 490H,2.0,0.0,0.0
2003,ARTGR 490I,6.0,0.0,0.0
2003,ARTGR 491,11.0,0.0,0.0
2003,ARTID 261,42.0,2.0,5.0
2003,ARTID 262,42.0,1.0,2.0
2003,ARTID 265,42.0,1.0,2.0
2003,ARTID 352,37.0,0.0,0.0
2003,ARTID 355,47.0,2.0,4.0
2003,ARTID 365,37.0,0.0,0.0
2003,ARTID 369,37.0,0.0,0.0
2003,ARTID 460,35.0,0.0,0.0
2003,ARTID 464,16.0,0.0,0.0
2003,ARTID 465,37.0,3.0,8.0
2003,ARTID 490,7.0,0.0,0.0
2003,ARTID 490H,3.0,0.0,0.0
2003,ARTIS 208,16.5,1.0,6.0
2003,ARTIS 220,28.0,3.0,11.0
2003,ARTIS 222,29.0,4.0,14.0
2003,ARTIS 224,33.0,6.0,18.0
2003,ARTIS 229,48.5,5.0,7.0
2003,ARTIS 233,16.0,1.0,6.0
2003,ARTIS 238,29.0,1.5,3.5
2003,ARTIS 301,88.0,10.0,11.0
2003,ARTIS 305,25.5,1.5,3.5
2003,ARTIS 308,18.5,1.5,8.0
2003,ARTIS 310,32.0,1.0,3.0
2003,ARTIS 320,7.0,0.0,0.0
2003,ARTIS 322,3.0,0.0,0.0
2003,ARTIS 324,4.0,0.0,0.0
