,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
4,2017,Spring,CALS,A B E,110,EXPERNC AG&BIO ENGR,101,2,2
12,2017,Spring,CALS,A B E,160,SYST PROB SOLV&PROG,45,7,16
20,2017,Spring,CALS,A B E,170,ENG GRPHC&INTRO DSN,38,3,8
28,2017,Spring,CALS,A B E,201,SMNR:PREP FOR WRKPL,79,0,0
36,2017,Spring,CALS,A B E,218,PROJ MGT&DESIGN ABE,89,0,0
44,2017,Spring,CALS,A B E,271,PARAM SLD MODEL ENG,24,3,13
52,2017,Spring,CALS,A B E,272,PRO/ENG MOD&ASSEMBL,27,4,15
56,2017,Spring,CALS,A B E,273,CAD FACILT&LAND USE,23,0,0
64,2017,Spring,CALS,A B E,316,APPLD NUMRCL METHDS,21,0,0
76,2017,Spring,CALS,A B E,342,AGRI TRACTOR POWER,36,0,0
82,2017,Spring,CALS,A B E,363,ELEC POWR&ELECTRONC,18,0,0
86,2017,Spring,CALS,A B E,380,PRIN BIOL SYS ENGNR,20,0,0
93,2017,Spring,CALS,A B E,403,MODEL&CNTRLS AG SYS,5,1,20
100,2017,Spring,CALS,A B E,410,ELE SYS INTEGRAT AG,6,0,0
112,2017,Spring,CALS,A B E,415,AG&BIOSY ENGR DSN I,21,0,0
120,2017,Spring,CALS,A B E,416,AG&BIOSY ENG DSN II,22,0,0
126,2017,Spring,CALS,A B E,418,FUND ENGINRG REVIEW,26,2,8
141,2017,Spring,CALS,A B E,432,NONPT SOURC POLLU&C,3,0,0
147,2017,Spring,CALS,A B E,451,FOOD&BIOPROCES ENGR,5,0,0
152,2017,Spring,CALS,A B E,469,GRAIN PROCESS&HANDL,23,0,0
159,2017,Spring,CALS,A B E,475,DSIGN ANIM PROD SYS,2,0,0
163,2017,Spring,CALS,A B E,478,WOOD-FRM STRUC DSGN,29,0,0
169,2017,Spring,CALS,A B E,490B,IND ST:BIORNW RSRCE,2,1,50
181,2017,Spring,CALS,A B E,490H,INDEP STUDY HONORS,1,0,0
185,2017,Spring,CALS,A B E,490L,IND STU LAND&WATR E,2,0,0
186,2017,Spring,CALS,A B E,490M,IND STU ADV MACH SY,1,0,0
602,2017,Spring,CALS,A ECL,231X,PRIN WLDLF&F CONSRV,7,0,0
650,2017,Spring,CALS,A ECL,321,FISH BIOLOGY,22,0,0
699,2017,Spring,CALS,A ECL,366,NAT HIST IOWA VERTE,63,1,2
728,2017,Spring,CALS,A ECL,401,INTR AQUAT ANIM MED,6,0,0
753,2017,Spring,CALS,A ECL,425,AQUATIC INSECTS,3,0,0
783,2017,Spring,CALS,A ECL,442,AQUACULTURE,19,7,37
800,2017,Spring,CALS,A ECL,451,WILDLIFE ECOL &MGMT,21,0,0
807,2017,Spring,CALS,A ECL,454,PRIN WILDLIF DISEAS,37,0,0
836,2017,Spring,CALS,A ECL,458,ORNITHOLOGY,39,4,10
841,2017,Spring,CALS,A ECL,458L,ORNITHOLOGY LAB,33,9,27
853,2017,Spring,CALS,A ECL,459,MAMMALOGY,71,0,0
858,2017,Spring,CALS,A ECL,459L,MAMMALOGY LABRATORY,58,1,2
896,2017,Spring,H SCI,A M D,121,APPARL ASSEMBL PROC,59,8,14
913,2017,Spring,H SCI,A M D,165,DRESS&DIVRSTY SOCIE,301,11,4
922,2017,Spring,H SCI,A M D,178,INTR APPRL DSN STDO,49,7,14
932,2017,Spring,H SCI,A M D,204,TEXTILE SCIENCE,89,11,12
934,2017,Spring,H SCI,A M D,204H,HONORS TEXTILE SCI,1,0,0
944,2017,Spring,H SCI,A M D,210,CPR APP DIGTL DSIGN,72,9,13
960,2017,Spring,H SCI,A M D,225,PATTRNMAK I:DRFT&FL,23,4,17
970,2017,Spring,H SCI,A M D,231,PRODUCT DEVELOP&MFG,69,4,6
980,2017,Spring,H SCI,A M D,245,AESTHETC&BRAND IMAG,74,3,4
989,2017,Spring,H SCI,A M D,275,RETAIL MERCHANDISNG,109,16,15
999,2017,Spring,H SCI,A M D,278,FASHION ILLUSTRATN,11,0,0
1013,2017,Spring,H SCI,A M D,310,CPR-INTGRT TXTL DSN,15,5,33
1031,2017,Spring,H SCI,A M D,325,PATTRNMAK II:DRAPNG,11,1,9
1045,2017,Spring,H SCI,A M D,329X,DIGTL TXTLE PRINTNG,6,0,0
1055,2017,Spring,H SCI,A M D,356,HIST 20TH C FASHION,74,1,1
1064,2017,Spring,H SCI,A M D,362,CULTUR PERSPC DRESS,67,5,7
1075,2017,Spring,H SCI,A M D,372,SOURCNG&GLOBAL ISSU,69,1,1
1088,2017,Spring,H SCI,A M D,377,BRAND MGMT&PROMOTNS,63,4,6
1092,2017,Spring,H SCI,A M D,404,ADV TEXTILE SCIENCE,11,1,9
1104,2017,Spring,H SCI,A M D,426,CREATV DSIGN PROCES,23,0,0
1109,2017,Spring,H SCI,A M D,431,APPARL PRODUCTN MGT,22,1,5
1124,2017,Spring,H SCI,A M D,475,RETAIL INFO ANALYSI,26,3,12
1126,2017,Spring,H SCI,A M D,477,MLTI-CHANNL RETAILI,110,6,5
1131,2017,Spring,H SCI,A M D,490A,IND STU TEXTILE SCI,2,0,0
1134,2017,Spring,H SCI,A M D,490B,IND ST TX&DRESS HIS,2,0,0
1143,2017,Spring,H SCI,A M D,490C,IND STU TXTL&AP DSN,8,0,0
1152,2017,Spring,H SCI,A M D,490D,IND STDY AESTHETICS,86,7,8
1173,2017,Spring,H SCI,A M D,490I,IND STDY MERCHANDSG,4,0,0
1210,2017,Spring,H SCI,A M D,496,FASHN FORCAST&PRODC,30,0,0
