,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
213,2013,Fall,CALS,A E,170,ENG GRPHC&INTRO DSN,59,9,15
230,2013,Fall,CALS,A E,201,SMNR:PREP FOR WRKPL,5,0,0
250,2013,Fall,CALS,A E,216,FND AG &BIOSYS ENGR,60,12,20
273,2013,Fall,CALS,A E,271,PARAM SLD MODEL ENG,17,0,0
295,2013,Fall,CALS,A E,272,PRO/ENG MOD&ASSEMBL,18,3,17
310,2013,Fall,CALS,A E,316,APPLD NUMRCL METHDS,30,4,13
315,2013,Fall,CALS,A E,325,BIORENEWABLE SYSTMS,14,1,7
326,2013,Fall,CALS,A E,340,ANALY&DS FIELD MACH,23,1,4
348,2013,Fall,CALS,A E,363,ELEC POWR&ELECTRONC,41,2,5
355,2013,Fall,CALS,A E,388,SUSTNBL E&INT'L DEV,15,0,0
382,2013,Fall,CALS,A E,404,A B E INSTRUMENTATN,31,0,0
390,2013,Fall,CALS,A E,408,GIS &NAT RESRCE MGT,2,1,50
408,2013,Fall,CALS,A E,413,FLUID POWER ENGR,19,1,5
427,2013,Fall,CALS,A E,415,AGRIC ENGR DESIGN I,14,0,0
449,2013,Fall,CALS,A E,416,AG ENGR DESIGN II,10,0,0
471,2013,Fall,CALS,A E,431,SOIL&WTR CONSRVSYS,4,1,25
485,2013,Fall,CALS,A E,451,FOOD&BIOPROCES ENGR,9,0,0
589,2013,Fall,CALS,A E,490S,IND STU ENVIR&N RES,1,0,0
626,2013,Fall,CALS,A ECL,312,ECOLOGY,110,22,20
685,2013,Fall,CALS,A ECL,365,VERTEBRATE BIOLOGY,134,29,22
710,2013,Fall,CALS,A ECL,371,ECOLOGICAL METHODS,38,12,32
744,2013,Fall,CALS,A ECL,418,STREAM ECOLOGY,18,0,0
765,2013,Fall,CALS,A ECL,440,FISHERY MANAGEMENT,12,0,0
796,2013,Fall,CALS,A ECL,451,WILDLIFE ECOL &MGMT,32,1,3
871,2013,Fall,CALS,A ECL,486,AQUATIC ECOLOGY,20,4,20
886,2013,Fall,CALS,A ECL,486L,AQUATIC ECOLOGY LAB,14,2,14
898,2013,Fall,H SCI,A M D,131,OVRVIEW FASHION IND,173,10,6
903,2013,Fall,H SCI,A M D,165,DRESS&DIVRSTY SOCIE,219,13,6
924,2013,Fall,H SCI,A M D,204,TEXTILE SCIENCE,59,11,19
936,2013,Fall,H SCI,A M D,210,CPR APP DIGTL DSIGN,73,8,11
946,2013,Fall,H SCI,A M D,221,APPARL ASSEMBL PROC,35,7,20
952,2013,Fall,H SCI,A M D,225,PATTERNMAKING I,34,4,12
962,2013,Fall,H SCI,A M D,231,PRODUCT DEVELOP&MFG,56,4,7
972,2013,Fall,H SCI,A M D,245,AESTHETC&BRAND IMAG,54,7,13
982,2013,Fall,H SCI,A M D,257,MUSEUM STUDIES,13,1,8
991,2013,Fall,H SCI,A M D,278,FASHION ILLUSTRATN,39,0,0
1001,2013,Fall,H SCI,A M D,301,BASC DSGN CNCP REVW,37,11,30
1007,2013,Fall,H SCI,A M D,305,TEXTL&AP QUAL ASSUR,15,0,0
1015,2013,Fall,H SCI,A M D,321,CPTR INTEGRAT DSIGN,26,1,4
1023,2013,Fall,H SCI,A M D,325,PATTERNMAKING II,18,1,6
1033,2013,Fall,H SCI,A M D,328,DESIGN SEMINAR,10,0,0
1046,2013,Fall,H SCI,A M D,354,HIST EUR&N AM DRESS,59,6,10
