,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
172,2018,Summer,CALS,A B E,490E,IND ST:ENVIR BIOPRC,1,0,0
195,2018,Summer,CALS,A B E,496,STUDY ABROAD,6,0,0
635,2018,Summer,CALS,A ECL,312,ECOLOGY,8,1,13
914,2018,Summer,H SCI,A M D,165,DRESS&DIVRSTY SOCIE,49,4,8
1065,2018,Summer,H SCI,A M D,362,CULTUR PERSPC DRESS,42,8,19
1360,2018,Summer,BUS,ACCT,215,LEGAL ENVIRONMT BUS,34,2,6
1406,2018,Summer,BUS,ACCT,284,FINANCIAL ACCOUNTNG,115,40,35
1455,2018,Summer,BUS,ACCT,285,MANAGERIAL ACCOUNTG,89,18,20
1482,2018,Summer,BUS,ACCT,301,THE ACCOUNTNG CYCLE,32,9,28
1552,2018,Summer,BUS,ACCT,383,INTMD MANAGERL ACCT,24,1,4
1630,2018,Summer,BUS,ACCT,386,INTMED ACCOUNTING I,29,3,10
1859,2018,Summer,BUS,ACCT,497,INTRO TO AUDITING,11,0,0
1939,2018,Summer,LAS,ADVRT,301,STRATEG PLAN AD&P.R,17,4,24
2119,2018,Summer,LAS,ADVRT,499A,PRO MDIA INTERN:REQ,5,0,0
2351,2018,Summer,ENGR,AER E,310,AERODYNAM I:INCMPRS,28,6,21
2714,2018,Summer,ENGR,AER E,452X,INTRO SYS ENGR&ANLY,5,0,0
3112,2018,Summer,H SCI,AESHM,170D,SUPV WRK EXP I:HSPY,2,0,0
3133,2018,Summer,H SCI,AESHM,170F,SUPV WRK EXP I:EVNT,1,0,0
3206,2018,Summer,H SCI,AESHM,270D,SUP WRK EXP II:HSPY,8,2,25
3222,2018,Summer,H SCI,AESHM,270F,SUP WRK EXP II:EVNT,1,0,0
3375,2018,Summer,H SCI,AESHM,342,AESTHTCS CNSMR EXPC,78,15,19
3425,2018,Summer,H SCI,AESHM,381D,INT'L FLD STU:HSPTY,11,0,0
3427,2018,Summer,H SCI,AESHM,381F,INT'L FLD STU:EVENT,11,0,0
3498,2018,Summer,H SCI,AESHM,470D,INTERNSHIP HOSPTLTY,36,0,0
3519,2018,Summer,H SCI,AESHM,470F,INTERNSHP EVENT MGT,92,5,5
3555,2018,Summer,H SCI,AESHM,470N,INTERNSHIP APPAREL,23,0,0
3646,2018,Summer,INDIS,AF AM,201,INTRO AFRIC AMER ST,61,19,31
3695,2018,Summer,INDIS,AF AM,330,ETHNIC&RACE RELATNS,20,3,15
3759,2018,Summer,INDIS,AF AM,460,SEM AFRIC AMER CULT,2,0,0
3764,2018,Summer,INDIS,AF AM,473,CIV RIGHTS& ETH PWR,6,0,0
4385,2018,Summer,CALS,AGEDS,315,LEADERSHIP IN AGRIC,21,2,10
4401,2018,Summer,CALS,AGEDS,327,ADV COMM AG&LIF SCI,24,1,4
4414,2018,Summer,CALS,AGEDS,388,AG MECHAN APPLCATNS,3,0,0
4607,2018,Summer,CALS,AGEDS,450,FARM MGMT&OPERATION,8,0,0
4770,2018,Summer,CALS,AGEDS,490C,"IND STU BUS,PROD AG",1,0,0
4931,2018,Summer,CALS,AGRON,120,INTR RENEW RESOURCS,18,1,6
5068,2018,Summer,CALS,AGRON,206,INTRO WEATHER&CLIMT,26,5,19
5411,2018,Summer,CALS,AGRON,342,WORLD FOOD ISSUES,32,6,19
5796,2018,Summer,CALS,AGRON,490G,INDEPENDENT STUDY,1,0,0
5875,2018,Summer,CALS,AGRON,496A,AG INT'L TRAVL TOUR,3,0,0
5944,2018,Summer,INDIS,AM IN,210,INTR AM INDIAN STDI,84,3,4
6233,2018,Summer,CALS,AN S,210,CAREER PREP AN SCI,33,2,6
6516,2018,Summer,CALS,AN S,270,FOODS ANIMAL ORIGIN,20,2,10
6935,2018,Summer,CALS,AN S,380D,TP ADV SWIN FRW MGT,3,0,0
