,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
184,2017,Summer,CALS,A B E,490L,IND STU LAND&WATR E,1,0,0
194,2017,Summer,CALS,A B E,496,STUDY ABROAD,7,0,0
633,2017,Summer,CALS,A ECL,312,ECOLOGY,8,3,38
1063,2017,Summer,H SCI,A M D,362,CULTUR PERSPC DRESS,48,10,21
1233,2017,Summer,H SCI,A TR,220,BASIC ATHLETC TRAIN,10,0,0
1357,2017,Summer,BUS,ACCT,215,LEGAL ENVIRONMT BUS,30,3,10
1403,2017,Summer,BUS,ACCT,284,FINANCIAL ACCOUNTNG,130,40,31
1452,2017,Summer,BUS,ACCT,285,MANAGERIAL ACCOUNTG,103,26,25
1479,2017,Summer,BUS,ACCT,301,THE ACCOUNTNG CYCLE,31,8,26
1549,2017,Summer,BUS,ACCT,383,INTMD MANAGERL ACCT,14,0,0
1627,2017,Summer,BUS,ACCT,386,INTMED ACCOUNTING I,20,2,10
1764,2017,Summer,BUS,ACCT,490,INDEPENDENT STUDY,1,0,0
1856,2017,Summer,BUS,ACCT,497,INTRO TO AUDITING,18,1,6
1936,2017,Summer,LAS,ADVRT,301,STRATEG PLAN AD&P.R,20,2,10
2116,2017,Summer,LAS,ADVRT,499A,PRO MDIA INTERN:REQ,35,0,0
2348,2017,Summer,ENGR,AER E,310,AERODYNAM I:INCMPRS,21,2,10
2404,2017,Summer,ENGR,AER E,321,FLIGHT STRUCT ANALY,14,3,21
2713,2017,Summer,ENGR,AER E,452X,INTRO SYS ENGR&ANLY,1,1,100
2946,2017,Summer,ENGR,AER E,490F,IND ST FLT CONT SYS,1,0,0
2951,2017,Summer,ENGR,AER E,490G,IND STDY AEROELASTI,1,0,0
3016,2017,Summer,ENGR,AER E,490J,IND STU NONDESTR EV,2,0,0
3109,2017,Summer,H SCI,AESHM,170D,SUPV WRK EXP I:HSPY,5,1,20
3130,2017,Summer,H SCI,AESHM,170F,SUPV WRK EXP I:EVNT,1,0,0
3182,2017,Summer,H SCI,AESHM,222,CRTV THINK&PRB SOLV,52,3,6
3203,2017,Summer,H SCI,AESHM,270D,SUP WRK EXP II:HSPY,20,2,10
3219,2017,Summer,H SCI,AESHM,270F,SUP WRK EXP II:EVNT,3,0,0
3372,2017,Summer,H SCI,AESHM,342,AESTHTCS CNSMR EXPC,71,10,14
3428,2017,Summer,H SCI,AESHM,381N,INT'L FLD STU:APPRL,9,0,0
3495,2017,Summer,H SCI,AESHM,470D,INTERNSHIP HOSPTLTY,28,2,7
3516,2017,Summer,H SCI,AESHM,470F,INTERNSHP EVENT MGT,94,1,1
3552,2017,Summer,H SCI,AESHM,470N,INTERNSHIP APPAREL,115,1,1
