,major, class
191,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 211
192,Agricultural and Life Sciences Education- B.S - teacher certification option,ECON 230
193,Agricultural and Life Sciences Education- B.S - teacher certification option,C I 333
194,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 311
195,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 315
196,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 488
197,Agricultural and Life Sciences Education- B.S - teacher certification option,AGRON 182
198,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 401
199,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 416
200,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 402
201,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 417
202,Agricultural and Life Sciences Education- B.S - teacher certification option,C I 406
203,Agricultural and Life Sciences Education- B.S - teacher certification option,SP ED 401
204,Agricultural Biochemistry- B.S. - option 1,BBMB 101
205,Agricultural Biochemistry- B.S. - option 1,BBMB 102
206,Agricultural Biochemistry- B.S. - option 1,BBMB 201
207,Agricultural Biochemistry- B.S. - option 1,BBMB 404
208,Agricultural Biochemistry- B.S. - option 1,BBMB 504
209,Agricultural Biochemistry- B.S. - option 1,BBMB 505
210,Agricultural Biochemistry- B.S. - option 1,BBMB 405
211,Agricultural Biochemistry- B.S. - option 1,BBMB 506
212,Agricultural Biochemistry- B.S. - option 1,BBMB 507
213,Agricultural Biochemistry- B.S. - option 1,BBMB 411
214,Agricultural Biochemistry- B.S. - option 1,BBMB 461
215,Agricultural Biochemistry- B.S. - option 1,BBMB 490
216,Agricultural Biochemistry- B.S. - option 1,BBMB 499
217,Agricultural Biochemistry- B.S. - option 1,CHEM 201
218,Agricultural Biochemistry- B.S. - option 1,CHEM 324
219,Agricultural Biochemistry- B.S. - option 1,CHEM 325
220,Agricultural Biochemistry- B.S. - option 1,CHEM 331
221,Agricultural Biochemistry- B.S. - option 1,MATH 165
222,Agricultural Biochemistry- B.S. - option 1,MATH 166
223,Agricultural Biochemistry- B.S. - option 1,MATH 265
224,Agricultural Biochemistry- B.S. - option 1,PHYS 221
225,Agricultural Biochemistry- B.S. - option 1,BIOL 211
226,Agricultural Biochemistry- B.S. - option 1,BIOL 313
227,Agricultural Biochemistry- B.S. - option 1,BIOL 314
228,Agricultural Biochemistry- B.S. - option 1,LIB 160
229,Agricultural Biochemistry- B.S. - option 1,ENGL 150
230,Agricultural Biochemistry- B.S. - option 1,ENGL 250
231,Agricultural Biochemistry- B.S. - option 1,BBMB 411
232,Agricultural Biochemistry- B.S. - option 1,ENGL 305
233,Agricultural Biochemistry- B.S. - option 1,ENGL 309
234,Agricultural Biochemistry- B.S. - option 1,ENGL 314
235,Agricultural Biochemistry- B.S. - option 1,BBMB 101
236,Agricultural Biochemistry- B.S. - option 1,BBMB 102
237,Agricultural Biochemistry- B.S. - option 1,BBMB 201
238,Agricultural Biochemistry- B.S. - option 1,BBMB 404
239,Agricultural Biochemistry- B.S. - option 1,BBMB 411
240,Agricultural Biochemistry- B.S. - option 1,BBMB 461
241,Agricultural Biochemistry- B.S. - option 1,CHEM 201
242,Agricultural Biochemistry- B.S. - option 1,CHEM 177
243,Agricultural Biochemistry- B.S. - option 1,CHEM 324
244,Agricultural Biochemistry- B.S. - option 1,CHEM 325
245,Agricultural Biochemistry- B.S. - option 1,CHEM 331
246,Agricultural Biochemistry- B.S. - option 1,MATH 165
247,Agricultural Biochemistry- B.S. - option 1,MATH 166
248,Agricultural Biochemistry- B.S. - option 1,MATH 265
249,Agricultural Biochemistry- B.S. - option 1,MATH 266
250,Agricultural Biochemistry- B.S. - option 1,MATH 207
251,Agricultural Biochemistry- B.S. - option 1,PHYS 221
252,Agricultural Biochemistry- B.S. - option 1,MATH 481
253,Agricultural Biochemistry- B.S. - option 1,STAT 407
254,Agricultural Biochemistry- B.S. - option 1,STAT 430
255,Agricultural Biochemistry- B.S. - option 1,COM S 207
256,Agricultural Biochemistry- B.S. - option 1,STAT 305
257,Agricultural Biochemistry- B.S. - option 1,BIOL 211
258,Agricultural Biochemistry- B.S. - option 1,LIB 160
259,Agricultural Biochemistry- B.S. - option 1,ENGL 150
260,Agricultural Biochemistry- B.S. - option 1,ENGL 250
261,Agricultural Biochemistry- B.S. - option 1,BBMB 411
262,Agricultural Biochemistry- B.S. - option 1,ENGL 305
263,Agricultural Biochemistry- B.S. - option 1,ENGL 309
264,Agricultural Biochemistry- B.S. - option 1,ENGL 314
265,Agricultural Biochemistry- B.S. - option 1,BBMB 404
266,Agricultural Biochemistry- B.S. - option 1,BBMB 405
267,Agricultural Biochemistry- B.S. - option 1,BBMB 411
268,Agricultural Biochemistry- B.S. - option 1,BBMB 461
269,Agricultural Biochemistry- B.S. - option 1,BBMB 561
270,Agricultural Biochemistry- B.S. - option 1,CHEM 325
271,Agricultural Biochemistry- B.S. - option 1,BBMB 101
272,Agricultural Biochemistry- B.S. - option 1,BBMB 102
273,Agricultural Biochemistry- B.S. - option 1,CHEM 201
274,Agricultural Biochemistry- B.S. - option 1,CHEM 211
275,Agricultural Biochemistry- B.S. - option 1,MATH 165
276,Agricultural Biochemistry- B.S. - option 1,MATH 166
277,Agricultural Biochemistry- B.S. - option 1,ENGL 150
278,Agricultural Biochemistry- B.S. - option 1,BIOL 211
279,Agricultural Biochemistry- B.S. - option 1,LIB 1601
280,Agricultural Biochemistry- B.S. - option 1,BIOL 211L3
281,Agricultural Biochemistry- B.S. - option 1,CHEM 331
282,Agricultural Biochemistry- B.S. - option 1,BBMB 201
283,Agricultural Biochemistry- B.S. - option 1,BIOL 212
284,Agricultural Biochemistry- B.S. - option 1,PHYS 222
285,Agricultural Biochemistry- B.S. - option 1,PHYS 221
286,Agricultural Biochemistry- B.S. - option 1,ENGL 2501
287,Agricultural Biochemistry- B.S. - option 1,BBMB 4044
