,major, class
99,Agricultural and Life Sciences Education- B.S - communications option,AGEDS 417
100,Agricultural and Life Sciences Education- B.S - communications option,C I 406
101,Agricultural and Life Sciences Education- B.S - communications option,SP ED 401
102,Agricultural and Life Sciences Education- B.S - teacher certification option,ENGL 150
103,Agricultural and Life Sciences Education- B.S - teacher certification option,ENGL 250
104,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 311
105,Agricultural and Life Sciences Education- B.S - teacher certification option,LIB 160
106,Agricultural and Life Sciences Education- B.S - teacher certification option,PSYCH 230
107,Agricultural and Life Sciences Education- B.S - teacher certification option,CHEM 163
108,Agricultural and Life Sciences Education- B.S - teacher certification option,MATH 104
109,Agricultural and Life Sciences Education- B.S - teacher certification option,BIOL 211
110,Agricultural and Life Sciences Education- B.S - teacher certification option,BIOL 212
111,Agricultural and Life Sciences Education- B.S - teacher certification option,STAT 104
112,Agricultural and Life Sciences Education- B.S - teacher certification option,ACCT 284
113,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 315
114,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 488
115,Agricultural and Life Sciences Education- B.S - teacher certification option,AN S 101
116,Agricultural and Life Sciences Education- B.S - teacher certification option,AGRON 181
117,Agricultural and Life Sciences Education- B.S - teacher certification option,AGRON 182
118,Agricultural and Life Sciences Education- B.S - teacher certification option,AN S 114
119,Agricultural and Life Sciences Education- B.S - teacher certification option,ECON 101
120,Agricultural and Life Sciences Education- B.S - teacher certification option,ECON 230
121,Agricultural and Life Sciences Education- B.S - teacher certification option,NREM 120
122,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 110A
123,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 211A
124,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 310
125,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 401
126,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 402
127,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 416
128,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 417
129,Agricultural and Life Sciences Education- B.S - teacher certification option,C I 202
130,Agricultural and Life Sciences Education- B.S - teacher certification option,C I 204
131,Agricultural and Life Sciences Education- B.S - teacher certification option,C I 333
132,Agricultural and Life Sciences Education- B.S - teacher certification option,C I 406
133,Agricultural and Life Sciences Education- B.S - teacher certification option,SP ED 401
134,Agricultural and Life Sciences Education- B.S - teacher certification option,ENGL 150
135,Agricultural and Life Sciences Education- B.S - teacher certification option,ENGL 250
136,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 311
137,Agricultural and Life Sciences Education- B.S - teacher certification option,LIB 160
138,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 327
139,Agricultural and Life Sciences Education- B.S - teacher certification option,ECON 101
140,Agricultural and Life Sciences Education- B.S - teacher certification option,CHEM 163
141,Agricultural and Life Sciences Education- B.S - teacher certification option,MATH 104
142,Agricultural and Life Sciences Education- B.S - teacher certification option,BIOL 211
143,Agricultural and Life Sciences Education- B.S - teacher certification option,BIOL 212
144,Agricultural and Life Sciences Education- B.S - teacher certification option,STAT 101
145,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 110A
146,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 211
147,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 215
148,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 315
149,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 412
150,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 211
151,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 310
152,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 311
153,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 312
154,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 315
155,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 412
156,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 388
157,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 414
158,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 450
159,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 451
160,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 461
161,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 488
162,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 490
163,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 496
164,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 499
165,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 327
166,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 402
167,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 110
168,Agricultural and Life Sciences Education- B.S - teacher certification option,BIOL 212
169,Agricultural and Life Sciences Education- B.S - teacher certification option,BIOL 211
170,Agricultural and Life Sciences Education- B.S - teacher certification option,ENGL 150
171,Agricultural and Life Sciences Education- B.S - teacher certification option,LIB 160
172,Agricultural and Life Sciences Education- B.S - teacher certification option,CHEM 163 
173,Agricultural and Life Sciences Education- B.S - teacher certification option,STAT 104
174,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 211
175,Agricultural and Life Sciences Education- B.S - teacher certification option,ENGL 302
176,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 315
177,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 412
178,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 110A
179,Agricultural and Life Sciences Education- B.S - teacher certification option,C I 202
180,Agricultural and Life Sciences Education- B.S - teacher certification option,AN S 114
181,Agricultural and Life Sciences Education- B.S - teacher certification option,ENGL 250
182,Agricultural and Life Sciences Education- B.S - teacher certification option,AN S 101
183,Agricultural and Life Sciences Education- B.S - teacher certification option,ECON 101
184,Agricultural and Life Sciences Education- B.S - teacher certification option,ENGL 150
185,Agricultural and Life Sciences Education- B.S - teacher certification option,LIB 160
186,Agricultural and Life Sciences Education- B.S - teacher certification option,C I 204
187,Agricultural and Life Sciences Education- B.S - teacher certification option,NREM 120
188,Agricultural and Life Sciences Education- B.S - teacher certification option,STAT 104
189,Agricultural and Life Sciences Education- B.S - teacher certification option,ACCT 284
190,Agricultural and Life Sciences Education- B.S - teacher certification option,AGEDS 310
