,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
453,2013,Summer,CALS,A E,423X,ENERGY&THE ENVIRNMT,4,0,0
625,2013,Summer,CALS,A ECL,312,ECOLOGY,13,2,15
870,2013,Summer,CALS,A ECL,486,AQUATIC ECOLOGY,5,2,40
1345,2013,Summer,BUS,ACCT,215,LEGAL ENVIRONMT BUS,30,1,3
1391,2013,Summer,BUS,ACCT,284,FINANCIAL ACCOUNTNG,46,8,17
1440,2013,Summer,BUS,ACCT,285,MANAGERIAL ACCOUNTG,38,5,13
1467,2013,Summer,BUS,ACCT,301,THE ACCOUNTNG CYCLE,14,4,29
1537,2013,Summer,BUS,ACCT,383,INTMD MANAGERL ACCT,26,0,0
1615,2013,Summer,BUS,ACCT,386,INTMED ACCOUNTING I,23,4,17
1844,2013,Summer,BUS,ACCT,497,INTRO TO AUDITING,37,5,14
1890,2013,Summer,LAS,ADVRT,230,ADVERTISING PRINCIP,41,1,2
2920,2013,Summer,ENGR,AER E,490E,IND STU SPACECR SYS,2,0,0
3097,2013,Summer,H SCI,AESHM,170D,SUPV WRK EXP I:HSPY,6,2,33
3118,2013,Summer,H SCI,AESHM,170F,SUPV WRK EXP I:EVNT,1,0,0
3191,2013,Summer,H SCI,AESHM,270D,SUP WRK EXP II:HSPY,12,6,50
3360,2013,Summer,H SCI,AESHM,342,AESTHTCS CNSMR EXPC,61,8,13
3400,2013,Summer,H SCI,AESHM,380,U.S. FIELD STUDY,20,0,0
3483,2013,Summer,H SCI,AESHM,470D,INTERNSHIP HOSPTLTY,20,5,25
3504,2013,Summer,H SCI,AESHM,470F,INTERNSHP EVENT MGT,64,3,5
3540,2013,Summer,H SCI,AESHM,470N,INTERNSHIP APPAREL,97,1,1
3559,2013,Summer,H SCI,AESHM,470P,INTRNSHP ISU DINING,1,0,0
3681,2013,Summer,INDIS,AF AM,330,ETHNIC&RACE RELATNS,18,5,28
4154,2013,Summer,CALS,AGEDS,211A,FIELD EXP H.S. AGRI,1,1,100
4198,2013,Summer,CALS,AGEDS,211C,FIELD EXP AG INDUST,1,0,0
4311,2013,Summer,CALS,AGEDS,311,PRESENTN STRATEGIES,10,1,10
4333,2013,Summer,CALS,AGEDS,312,SCI WITH PRACTICE,1,0,0
4480,2013,Summer,CALS,AGEDS,412,INTERNSHIP IN AGEDS,6,1,17
4592,2013,Summer,CALS,AGEDS,450,FARM MGMT&OPERATION,17,0,0
4686,2013,Summer,CALS,AGEDS,490A,"IND STU PHIL,CURRIC",2,0,0
4718,2013,Summer,CALS,AGEDS,490B,"IND STU LDRSHP,EVAL",1,0,0
4758,2013,Summer,CALS,AGEDS,490C,"IND STU BUS,PROD AG",2,0,0
4837,2013,Summer,CALS,AGEDS,496A,AG TRAVEL INTERNATL,7,0,0
4960,2013,Summer,CALS,AGRON,154,FUND OF SOIL SCIENC,27,1,4
5053,2013,Summer,CALS,AGRON,206,INTRO WEATHER&CLIMT,20,4,20
5396,2013,Summer,CALS,AGRON,342,WORLD FOOD ISSUES,47,9,19
5783,2013,Summer,CALS,AGRON,490G,INDEPENDENT STUDY,3,0,0
5890,2013,Summer,CALS,AGRON,497,AGROECOLOGY FLD CRS,1,0,0
5929,2013,Summer,INDIS,AM IN,210,INTR AM INDIAN STDI,33,2,6
6087,2013,Summer,INDIS,AM IN,490,INDEPENDENT STUDY,1,0,0
6113,2013,Summer,CALS,AN S,101,WORKNG WITH ANIMALS,7,1,14
6341,2013,Summer,CALS,AN S,216,EQUINE SCIENCE,39,3,8
6505,2013,Summer,CALS,AN S,270,FOODS ANIMAL ORIGIN,24,6,25
6956,2013,Summer,CALS,AN S,380G,TP ADV SWIN NRS MGT,4,1,25
6968,2013,Summer,CALS,AN S,380I,TOP ADV PORK EXPORT,4,1,25
7454,2013,Summer,CALS,AN S,490A,IND STDY ANIMAL SCI,2,0,0
7491,2013,Summer,CALS,AN S,490B,IND STUDY DAIRY SCI,1,0,0
7558,2013,Summer,CALS,AN S,493,WORKSHP IN ANIM SCI,3,0,0
7577,2013,Summer,CALS,AN S,496A,AG INT'L TRAVEL CRS,28,1,4
7586,2013,Summer,CALS,AN S,496B,AG DOMESTIC TRAVEL,9,0,0
7797,2013,Summer,LAS,ANTHR,309,INTRO CULTUR&LANGUA,23,8,35
7956,2013,Summer,LAS,ANTHR,418,"GLOB CULTR,CONSMPTN",11,0,0
7988,2013,Summer,LAS,ANTHR,429,ARCHAEOL FIELD SCHL,10,0,0
8097,2013,Summer,LAS,ANTHR,490B,IND STU CULTR ANTHR,1,0,0
8121,2013,Summer,LAS,ANTHR,490C,IND STU BIOL ANTHRO,1,0,0
8775,2013,Summer,DSGN,ARCH,490B,INDEP STUDY DESIGN,1,0,0
8803,2013,Summer,DSGN,ARCH,490C,IND STDY TECHN SYST,2,0,0
8847,2013,Summer,DSGN,ARCH,490F,INDEP STDY PRACTICE,1,0,0
8942,2013,Summer,DSGN,ART,495G,GRAPHIC DSGN IN EUR,9,0,0
8966,2013,Summer,DSGN,ART,495N,ART HIST IN EUROPE,5,0,0
8992,2013,Summer,DSGN,ART,497,STUDIO INTERNSHIP,1,0,0
9021,2013,Summer,DSGN,ART,498,MUSEUM/GLLRY INTERN,1,0,0
9134,2013,Summer,DSGN,ART H,386X,AMERICN ART TO 1945,42,7,17
9186,2013,Summer,DSGN,ART H,489,HISTORY OF COMICS,34,6,18
9636,2013,Summer,DSGN,ARTGR,476,GRPHC DSN METHODLGY,4,1,25
9702,2013,Summer,DSGN,ARTGR,480,GRPH DSGN INTERNSHP,28,2,7
9843,2013,Summer,DSGN,ARTGR,490I,"IND STU COOP,INTERN",1,0,0
10132,2013,Summer,DSGN,ARTID,460,INT DSGN INTERNSHIP,51,0,0
