,Year,Semester,College,Department,Course,Title,Total Grades,"D, F, W Grades",% DFW
196,2015,Summer,CALS,A B E,496D,A E TRAVEL&PRE&POST,3,0,0
629,2015,Summer,CALS,A ECL,312,ECOLOGY,9,1,11
873,2015,Summer,CALS,A ECL,486,AQUATIC ECOLOGY,3,1,33
907,2015,Summer,H SCI,A M D,165,DRESS&DIVRSTY SOCIE,41,0,0
1059,2015,Summer,H SCI,A M D,362,CULTUR PERSPC DRESS,40,10,25
1147,2015,Summer,H SCI,A M D,490D,IND STDY AESTHETICS,1,0,0
1351,2015,Summer,BUS,ACCT,215,LEGAL ENVIRONMT BUS,27,2,7
1397,2015,Summer,BUS,ACCT,284,FINANCIAL ACCOUNTNG,45,7,16
1446,2015,Summer,BUS,ACCT,285,MANAGERIAL ACCOUNTG,19,4,21
1473,2015,Summer,BUS,ACCT,301,THE ACCOUNTNG CYCLE,17,2,12
1543,2015,Summer,BUS,ACCT,383,INTMD MANAGERL ACCT,31,2,6
1621,2015,Summer,BUS,ACCT,386,INTMED ACCOUNTING I,17,2,12
1762,2015,Summer,BUS,ACCT,490,INDEPENDENT STUDY,1,0,0
1850,2015,Summer,BUS,ACCT,497,INTRO TO AUDITING,30,0,0
1931,2015,Summer,LAS,ADVRT,301,STRATEG PLAN AD&P.R,7,0,0
2100,2015,Summer,LAS,ADVRT,497E,SPL TP SOC MDIA&PUB,18,1,6
3103,2015,Summer,H SCI,AESHM,170D,SUPV WRK EXP I:HSPY,5,0,0
3124,2015,Summer,H SCI,AESHM,170F,SUPV WRK EXP I:EVNT,1,0,0
3178,2015,Summer,H SCI,AESHM,222,CRTV THINK&PRB SOLV,42,9,21
3197,2015,Summer,H SCI,AESHM,270D,SUP WRK EXP II:HSPY,16,3,19
3366,2015,Summer,H SCI,AESHM,342,AESTHTCS CNSMR EXPC,77,11,14
3406,2015,Summer,H SCI,AESHM,380,U.S. FIELD STUDY,24,0,0
3419,2015,Summer,H SCI,AESHM,381,INT'L FIELD TRIP,7,0,0
3489,2015,Summer,H SCI,AESHM,470D,INTERNSHIP HOSPTLTY,32,5,16
3510,2015,Summer,H SCI,AESHM,470F,INTERNSHP EVENT MGT,82,2,2
3546,2015,Summer,H SCI,AESHM,470N,INTERNSHIP APPAREL,99,1,1
3637,2015,Summer,INDIS,AF AM,201,INTRO AFRIC AMER ST,48,8,17
3687,2015,Summer,INDIS,AF AM,330,ETHNIC&RACE RELATNS,5,0,0
4317,2015,Summer,CALS,AGEDS,311,PRESENTN STRATEGIES,25,1,4
4376,2015,Summer,CALS,AGEDS,315,LEADERSHIP IN AGRIC,23,2,9
4392,2015,Summer,CALS,AGEDS,327,ADV COMM AG&LIF SCI,23,0,0
4485,2015,Summer,CALS,AGEDS,412,INTERNSHIP IN AGEDS,3,0,0
4598,2015,Summer,CALS,AGEDS,450,FARM MGMT&OPERATION,16,0,0
4922,2015,Summer,CALS,AGRON,120,INTR RENEW RESOURCS,8,1,13
5059,2015,Summer,CALS,AGRON,206,INTRO WEATHER&CLIMT,18,3,17
5402,2015,Summer,CALS,AGRON,342,WORLD FOOD ISSUES,36,3,8
5788,2015,Summer,CALS,AGRON,490G,INDEPENDENT STUDY,2,0,0
5935,2015,Summer,INDIS,AM IN,210,INTR AM INDIAN STDI,32,1,3
5989,2015,Summer,INDIS,AM IN,310,TOPICS AMERI INDIAN,26,4,15
6224,2015,Summer,CALS,AN S,210,CAREER PREP AN SCI,40,1,3
6347,2015,Summer,CALS,AN S,216,EQUINE SCIENCE,46,7,15
6601,2015,Summer,CALS,AN S,313,ANIML EXERC PHYSIOL,10,3,30
6622,2015,Summer,CALS,AN S,317B,FND EQUINE TRN YRLG,7,0,0
6881,2015,Summer,CALS,AN S,352,GENET IMPRV DOM ANI,14,1,7
6929,2015,Summer,CALS,AN S,380D,TP ADV SWIN FRW MGT,6,1,17
6958,2015,Summer,CALS,AN S,380G,TP ADV SWIN NRS MGT,3,0,0
6982,2015,Summer,CALS,AN S,381X,SWINE BUS&RCRD ANLY,6,2,33
7032,2015,Summer,CALS,AN S,399A,ANIM SCI INTERNSHIP,1,0,0
7460,2015,Summer,CALS,AN S,490A,IND STDY ANIMAL SCI,5,0,0
7549,2015,Summer,CALS,AN S,490H,INDEP STUDY HONORS,1,0,0
7581,2015,Summer,CALS,AN S,496A,AG INT'L TRAVEL CRS,15,0,0
7587,2015,Summer,CALS,AN S,496B,AG DOMESTIC TRAVEL,8,0,0
7641,2015,Summer,LAS,ANTHR,201,INTRO CULTURL ANTHR,84,15,18
7677,2015,Summer,LAS,ANTHR,202,INTR BIOL AN&ARCHEO,17,3,18
9025,2015,Summer,DSGN,ART,498,MUSEUM/GLLRY INTERN,1,0,0
9127,2015,Summer,DSGN,ART H,386,AMERICN ART TO 1945,47,7,15
9639,2015,Summer,DSGN,ARTGR,476,GRPHC DSN METHODLGY,6,0,0
9704,2015,Summer,DSGN,ARTGR,480,GRPH DSGN INTERNSHP,27,0,0
9877,2015,Summer,DSGN,ARTGR,495,GRAPHIC DSN IN EURO,15,0,0
10134,2015,Summer,DSGN,ARTID,460,INT DSGN INTERNSHIP,55,0,0
